Институт,Учебная группа,result,Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги
0.1830065359477124,0.1830065359477124,0,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,5,1.0
0.0915032679738562,0.1830065359477124,0,-1,1,-1,-1,5,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,1.0
0.061002178649237467,0.0915032679738562,0,-1,1,-1,-1,5,-1,3,-1,-1,-1,-1,-1,-1,3,-1,0,1.0
0.0457516339869281,0.1830065359477124,0,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0
0.03660130718954248,0.1830065359477124,0,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0
0.030501089324618733,0.1830065359477124,1,-1,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,3,4.0
0.16900093370681607,0.1830065359477124,0,-1,0,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,3.0
0.1830065359477124,0.1830065359477124,0,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
0.0915032679738562,0.0915032679738562,0,-1,-1,0,1,-1,-1,-1,2,4,-1,-1,4,-1,-1,3,-1,2.0
0.061002178649237467,0.1830065359477124,0,-1,-1,-1,1,-1,-1,-1,2,3,-1,-1,5,-1,-1,3,-1,1.0
0.0457516339869281,0.1830065359477124,0,-1,1,1,1,-1,-1,-1,2,5,-1,-1,5,-1,-1,3,-1,1.0
0.03660130718954248,0.0915032679738562,0,-1,1,1,1,-1,-1,-1,3,2,-1,-1,3,-1,-1,3,-1,1.0
0.030501089324618733,0.1830065359477124,0,-1,-1,-1,1,-1,-1,-1,2,3,-1,-1,4,-1,-1,3,-1,1.0
0.1830065359477124,0.1830065359477124,0,1,-1,-1,1,-1,-1,-1,-1,4,-1,-1,3,-1,-1,2,-1,1.0
0.0915032679738562,0.1830065359477124,1,0,-1,-1,1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,3,-1,3.0
0.39433551198257083,0.1830065359477124,0,-1,1,-1,1,-1,-1,-1,-1,2,-1,5,-1,5,-1,3,-1,1.0
0.2957516339869281,0.1830065359477124,0,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,4,-1,0,-1,1.0
0.23660130718954248,0.1830065359477124,0,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
0.19716775599128541,0.0915032679738562,0,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0
0.16900093370681607,0.061002178649237467,0,-1,1,-1,1,-1,-1,-1,-1,3,-1,4,-1,5,-1,2,-1,1.0
0.14787581699346405,0.0457516339869281,0,-1,1,-1,1,-1,-1,-1,-1,3,-1,5,-1,3,-1,2,-1,1.0
0.13144517066085692,0.03660130718954248,0,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
0.11830065359477124,0.030501089324618733,0,-1,0,-1,1,-1,-1,-1,-1,2,-1,5,-1,4,-1,3,-1,2.0
0.10754604872251931,0.1830065359477124,0,-1,1,-1,0,-1,-1,-1,-1,3,-1,3,-1,3,-1,3,-1,1.0
0.09858387799564271,0.0915032679738562,0,-1,1,-1,1,-1,-1,-1,-1,4,-1,2,-1,3,-1,3,-1,1.0
0.09100050276520864,0.061002178649237467,0,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
0.08450046685340803,0.1830065359477124,0,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0
0.07886710239651416,0.0915032679738562,0,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,5,-1,2,-1,1.0
0.07393790849673203,0.061002178649237467,0,-1,1,-1,1,-1,-1,-1,-1,4,-1,3,-1,3,-1,2,-1,1.0
0.06958861976163014,0.0457516339869281,1,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0
0.12127814088598401,0.23660130718954248,1,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0
0.16752665978672168,0.363834422657952,1,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,3,-1,2,-1,3.0
0.20915032679738563,0.45471521942110177,0,-1,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,3,-1,2,-1,2.0
0.19919078742608157,0.1830065359477124,0,-1,1,-1,1,-1,-1,-1,-1,4,-1,5,-1,0,-1,2,-1,2.0
0.19013666072489602,0.0915032679738562,1,-1,1,-1,1,-1,-1,-1,-1,2,-1,4,-1,0,-1,2,-1,3.0
0.2253481102585962,0.1830065359477124,0,-1,1,-1,1,-1,-1,-1,-1,0,-1,3,-1,3,-1,3,-1,1.0
0.21595860566448802,0.1830065359477124,0,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,4,-1,0,-1,3.0
0.2073202614379085,0.0915032679738562,1,-1,0,-1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,2,-1,6.0
0.23780794369029665,0.39433551198257083,0,-1,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,5,-1,3,-1,1.0
0.2290002420721375,0.2957516339869281,0,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,4,-1,3,-1,1.0
