Институт,Учебная группа,Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги
0.2788671023965142,0.2957516339869281,-1,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0
0.0305010893246187,0.1830065359477124,1,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0
0.2070927136286613,0.2957516339869281,-1,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0
0.0610021786492374,0.1830065359477124,-1,-1,-1,1,-1,0,-1,2,3,3,-1,5,-1,-1,3,-1,2.0
0.2652505446623093,0.1830065359477124,-1,-1,-1,0,-1,4,-1,2,3,3,-1,3,-1,-1,3,-1,2.0
0.169000933706816,0.0610021786492374,-1,1,-1,1,-1,-1,-1,-1,3,-1,4,-1,5,-1,2,-1,1.0
0.1903024775801793,0.1971677559912854,-1,-1,-1,1,-1,3,-1,2,3,4,-1,4,-1,-1,3,-1,1.0
0.190136660724896,0.1075460487225193,-1,-1,-1,1,-1,4,-1,2,3,4,-1,4,-1,-1,2,-1,2.0
0.1830065359477124,0.1830065359477124,-1,-1,-1,1,-1,4,-1,2,3,-1,-1,4,-1,-1,3,-1,1.0
0.2201582387340901,0.147875816993464,-1,-1,-1,1,-1,5,-1,3,2,4,-1,4,-1,-1,3,-1,1.0
0.0457516339869281,0.1830065359477124,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
0.2033273915626856,0.2366013071895424,-1,-1,-1,0,-1,2,-1,2,2,0,-1,3,-1,-1,3,-1,5.0
0.0366013071895424,0.1830065359477124,-1,1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,3,-1,4,1.0
0.3536673928830791,0.4547152194211017,-1,-1,-1,1,-1,3,-1,2,4,4,-1,4,-1,-1,3,-1,1.0
0.2253481102585962,0.1830065359477124,-1,1,-1,1,-1,-1,-1,-1,0,-1,3,-1,3,-1,3,-1,1.0
0.0610021786492374,0.0915032679738562,-1,1,-1,-1,5,-1,3,-1,-1,-1,-1,-1,-1,3,-1,0,1.0
0.2137369567710124,0.3118580765639588,-1,-1,-1,0,-1,2,-1,2,2,3,-1,0,-1,-1,3,-1,5.0
0.1675266597867216,0.363834422657952,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,3,-1,2,-1,3.0
0.1971677559912854,0.0915032679738562,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0
0.1993464052287581,0.3943355119825708,-1,-1,-1,1,-1,0,-1,2,2,0,-1,3,-1,-1,3,-1,4.0
0.2153422772617819,0.1830065359477124,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,2,-1,2,-1,3.0
0.022875816993464,0.0366013071895424,-1,-1,1,1,-1,-1,-1,2,2,-1,-1,0,-1,-1,3,-1,3.0
0.2112648981161091,0.2893642305407011,-1,-1,-1,1,-1,3,-1,2,4,4,-1,4,-1,-1,3,-1,1.0
0.0261437908496732,0.0915032679738562,1,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0
0.0915032679738562,0.1830065359477124,-1,1,-1,-1,5,-1,2,-1,-1,-1,-1,-1,-1,3,-1,3,1.0
0.2208216619981326,0.2366013071895424,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
0.1314451706608569,0.0366013071895424,-1,1,-1,1,-1,-1,-1,-1,2,-1,3,-1,3,-1,3,-1,1.0
0.2489017464909461,0.727668845315904,-1,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,2,-1,3.0
0.2052287581699346,0.1830065359477124,-1,0,-1,0,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,6.0
0.1314451706608569,0.1971677559912854,-1,-1,0,0,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,3.0
0.18417965476789,0.0915032679738562,-1,-1,-1,1,-1,4,-1,2,2,4,-1,3,-1,-1,3,-1,2.0
0.0695886197616301,0.0457516339869281,-1,1,-1,1,-1,-1,-1,-1,2,-1,0,-1,0,-1,0,-1,4.0
0.121278140885984,0.1971677559912854,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
0.1075460487225193,0.147875816993464,-1,-1,1,1,-1,-1,-1,2,4,-1,-1,3,-1,-1,3,-1,1.0
0.1075460487225193,0.5915032679738562,0,1,-1,0,-1,-1,-1,-1,3,-1,-1,3,-1,-1,3,-1,2.0
0.215958605664488,0.1830065359477124,-1,1,-1,1,-1,-1,-1,-1,2,-1,2,-1,4,-1,0,-1,3.0
0.1874082966519941,0.1971677559912854,-1,-1,-1,1,-1,4,-1,2,2,3,-1,3,-1,-1,3,-1,2.0
0.244887202192705,0.545751633986928,-1,-1,-1,1,-1,3,-1,2,3,3,-1,3,-1,-1,3,-1,1.0
0.0915032679738562,0.1830065359477124,0,-1,-1,1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,3,-1,3.0
0.1996667948225041,0.1830065359477124,-1,-1,-1,0,-1,2,-1,2,2,3,-1,0,-1,-1,2,-1,6.0
0.2175536881419234,0.363834422657952,-1,-1,-1,1,-1,5,-1,3,2,4,-1,3,-1,-1,3,-1,1.0
0.2317098882563778,0.397875816993464,-1,-1,-1,0,-1,3,-1,2,3,4,-1,4,-1,-1,3,-1,2.0
0.0366013071895424,0.0915032679738562,-1,-1,1,1,-1,-1,-1,0,3,-1,-1,3,-1,-1,3,-1,1.0
0.1830065359477124,0.1830065359477124,-1,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0
0.2176668647256882,0.1830065359477124,-1,1,-1,1,-1,-1,-1,-1,5,-1,5,-1,2,-1,3,-1,1.0
0.1039526921879862,0.0610021786492374,-1,-1,0,1,-1,-1,-1,2,2,-1,-1,3,-1,-1,3,-1,3.0
0.1742919389978213,0.1830065359477124,-1,-1,-1,1,-1,2,-1,2,2,3,-1,3,-1,-1,3,-1,3.0
0.2290002420721375,0.545751633986928,-1,-1,-1,1,-1,3,-1,2,2,0,-1,4,-1,-1,3,-1,3.0
0.2052287581699346,0.2652505446623093,-1,-1,-1,1,-1,4,-1,3,2,3,-1,3,-1,-1,3,-1,1.0
0.2040668119099491,0.1830065359477124,-1,1,-1,1,-1,-1,-1,-1,3,-1,3,-1,3,-1,2,-1,1.0
0.1778914464336459,0.0610021786492374,-1,-1,-1,0,-1,2,-1,2,3,3,-1,3,-1,-1,3,-1,3.0
0.2234407887448764,0.1830065359477124,-1,-1,-1,0,-1,0,-1,2,2,0,-1,0,-1,-1,2,-1,7.0
0.2091503267973856,0.1314451706608569,-1,-1,-1,1,-1,3,-1,2,3,3,-1,4,-1,-1,3,-1,1.0
0.261437908496732,0.2366013071895424,-1,-1,-1,1,-1,3,-1,2,2,4,-1,4,-1,-1,3,-1,2.0
0.2091503267973856,0.4547152194211017,-1,1,-1,1,-1,-1,-1,-1,3,-1,2,-1,3,-1,2,-1,2.0
0.0457516339869281,0.0915032679738562,-1,-1,-1,0,-1,0,-1,2,4,0,-1,0,-1,-1,2,-1,6.0
